corridor_application_id,fico_score,annual_income,dti_ratio,loan_purpose,risk_tier
bill,737,50563.5615,0.2376,debt,B
reason,738,79800.012,0.435,auto,D
lawyer,739,78415.5859,0.0,debt,D
health,740,79800.013,0.2675,home,A
land_15,741,52599.7935,0.1782,auto,D
item,742,59175.4974,0.3616,home,B
manage,743,32965.4124,0.3682,personal,C
treat,744,76260.305,0.1597,home,C
shoulder,745,38010.8768,0.1589,auto,D
arm,746,58035.1373,0.2654,personal,D
report,747,39030.1575,0.1262,debt,B
ready,748,46383.4573,0.4341,home,D
race,749,42791.0122,0.2196,auto,A
billion,750,46108.5461,0.0,home,C
ask,751,47102.8865,0.2186,auto,C
interesting,752,46970.6102,0.1011,debt,C
should,753,66952.1712,0.0,debt,B
group,754,38920.8165,0.0659,personal,D
such,755,58089.6014,0.3044,home,A
training,756,72514.8504,0.5203,debt,A
boy,757,47477.8486,0.3405,personal,C
energy,758,44517.0296,0.1776,debt,B
dark,759,51566.0156,0.3657,personal,D
customer_16,760,71961.8884,0.2037,debt,B
not,761,57707.3001,0.162,personal,A
list,762,47217.2626,0.0806,home,D
challenge,763,61898.1122,0.0,debt,C
knowledge,764,38957.9946,0.2159,personal,A
cover,765,64754.2269,0.313,personal,C
family_17,766,60809.5222,0.2679,auto,C
maintain,767,50448.2906,0.2113,personal,C
enjoy,768,42771.8729,0.1175,personal,B
two,769,42076.2926,0.3927,auto,D
wind,770,62634.8467,0.0517,auto,D
bag,771,72674.2478,0.4224,personal,C
level,772,45682.8759,0.1075,debt,A
system,773,61529.4614,0.1517,personal,D
training_18,774,30000.014,0.0252,auto,C
total,775,46444.9103,0.1962,personal,C
oil,776,54450.8072,0.4577,auto,B
billion_19,777,41743.6168,0.3763,home,D
apply,778,41355.6872,0.4583,auto,C
reach,779,45242.1745,0.3775,auto,A
now,780,59125.8652,0.0895,auto,B
think,781,52190.7362,0.2264,home,D
administration,782,30000.015,0.1468,auto,A
better,783,30000.016,0.5206,home,D
with,784,46123.1545,0.073,personal,C
some,785,61519.3359,0.4433,home,C
time,786,30000.017,0.4431,home,B
economic,787,47672.6047,0.59,debt,A
compare,788,47289.0902,0.2124,auto,D
investment_20,789,74978.9676,0.4112,personal,B
mention_21,790,49331.5853,0.59,auto,D
medical,791,60439.0147,0.1756,auto,B
different,792,56942.9449,0.0131,personal,A
treatment,793,30000.018,0.0,personal,A
institution,794,66010.2702,0.4112,debt,C
weight,795,58015.1925,0.0,personal,D
artist_22,796,62250.8837,0.2191,debt,B
community,797,79800.019,0.3624,auto,B
hundred,798,30000.02,0.3178,auto,B
able,799,79800.021,0.3603,auto,C
in,800,50742.7628,0.3244,auto,B
evidence_23,801,59055.5217,0.5115,personal,D
with_24,802,54241.7748,0.1163,personal,C
step,803,48764.4416,0.1651,auto,C
still_25,804,46658.7369,0.1482,debt,A
look,805,59665.5515,0.432,debt,D
feeling,806,32957.7307,0.4445,home,A
land_26,807,65755.3228,0.3649,auto,A
same,808,48880.7487,0.4946,auto,C
side,809,38556.2644,0.0764,auto,C
step_27,810,48391.6461,0.5803,auto,B
only,811,73081.6405,0.5548,personal,B
recently,812,47157.6652,0.4153,auto,D
serious,813,60084.1696,0.59,home,A
message,814,44328.4751,0.0,debt,D
clear,815,65861.5171,0.1921,personal,C
customer_28,816,64814.2211,0.1548,debt,B
fine,817,79800.022,0.4128,auto,B
director,818,52360.8897,0.099,home,B
article_29,819,64570.4839,0.4192,personal,D
particularly,820,56318.3111,0.5277,auto,C
simply,821,73641.6693,0.4081,auto,B
occur,822,44503.818,0.3353,personal,C
ask_30,823,65674.7104,0.11,personal,D
small,824,52084.1718,0.135,home,B
former,825,53971.6724,0.5063,home,D
art,826,56226.9791,0.423,home,B
apply_31,827,58548.0508,0.2781,auto,A
pattern,828,53219.0264,0.211,home,A
me,829,58005.3099,0.0,auto,B
morning,830,77723.683,0.0954,auto,A
wide,831,69152.1601,0.59,debt,A
tonight,832,67470.2312,0.0582,personal,D
nice_32,833,48311.7161,0.3186,personal,D
coach_33,834,42039.2697,0.4634,home,C
art_34,835,68716.1255,0.0628,home,A
movie,836,67569.9103,0.3177,auto,A
be,837,76198.6401,0.4511,auto,A
today,838,46164.8726,0.2872,auto,C
cultural,839,51580.1307,0.59,debt,D
authority_35,840,31188.8039,0.0,personal,B
physical,841,49223.8492,0.4725,personal,A
author_36,842,69312.9961,0.2544,home,C
Republican,843,48153.2661,0.4217,debt,B
training_37,844,64163.0001,0.3632,auto,B
easy,845,52144.8307,0.1552,home,C
international,846,59586.7057,0.3256,home,C
call,847,38301.4038,0.0,debt,A
year,848,56132.3498,0.3918,debt,A
voice,849,30000.023,0.3378,auto,D
over,850,52196.9965,0.3981,debt,A
employee,851,31319.1252,0.4724,debt,A
particular,852,72341.8107,0.3501,auto,A
phone,853,66143.328,0.3112,home,A
among,854,61649.2736,0.129,home,B
president,855,76897.6977,0.1589,debt,D
beat,856,41176.2043,0.4952,auto,B
kind,857,79800.024,0.5394,debt,B
really,858,68381.9094,0.2428,home,C
past,859,51478.7966,0.2931,personal,C
other,860,71324.0147,0.1248,home,D
necessary,861,38900.1245,0.4927,personal,D
four,862,42975.3853,0.4028,debt,A
worry_38,863,46098.2131,0.59,debt,D
every,864,47249.6094,0.1294,debt,B
democratic,865,39619.4343,0.2181,auto,D
relationship_39,866,72588.9555,0.326,personal,B
sense,867,51156.2935,0.3995,auto,D
former_40,868,59998.1367,0.2468,home,D
edge,869,46651.239,0.1304,personal,A
evidence_41,870,30000.025,0.4411,home,C
individual,871,58805.7303,0.4127,personal,D
catch,872,30000.026,0.1227,debt,D
remain_42,873,53907.3736,0.525,auto,A
quite,874,35110.6132,0.4922,personal,C
first,875,79800.027,0.3088,home,B
lot,876,68080.6703,0.2991,auto,A
four_43,877,56429.4743,0.3831,auto,B
woman_44,878,73176.4784,0.1324,debt,A
society,879,42660.0744,0.2903,debt,D
would,880,62760.1224,0.0,debt,B
baby,881,57789.7775,0.4402,debt,D
act,882,58718.4156,0.0085,auto,A
low,883,73301.5339,0.5513,home,B
pretty,884,65493.7369,0.2265,personal,A
order,885,59075.6935,0.2475,home,A
black,886,30966.0326,0.1738,home,A
back,887,41015.2389,0.234,home,A
note,888,53125.3103,0.5362,personal,C
different_45,889,56250.4069,0.0,personal,B
move,890,38554.3208,0.5112,auto,B
evidence_46,891,79800.028,0.3449,home,B
cause_47,892,76830.9937,0.0712,personal,D
worker,893,63608.1937,0.0946,personal,D
happy,894,55941.84,0.5819,auto,B
upon,895,51830.9075,0.1176,personal,B
authority_48,896,41132.7885,0.0807,auto,A
until,897,56020.5694,0.4864,home,D
election,898,58627.7707,0.345,debt,A
hope,899,36940.9192,0.1189,personal,B
feel,900,59733.0583,0.3234,home,B
coach_49,901,52654.5512,0.1033,personal,B
left_50,902,30000.029,0.48,personal,A
these,903,42456.5997,0.473,debt,D
