corridor_member_id,prior_loans_with_cu,loans_paid_in_full,ever_30_dpd_with_cu,months_since_last_cu_loan
sign,4,2,false,42.5166
mention,1,2,false,10.6898
team,0,2,false,41.5912
authority,1,1,true,1.0
soon,2,3,false,1.0
no,2,1,true,33.5916
space,4,1,false,1.0
car,2,0,true,5.8939
career,5,1,false,1.0
receive,5,4,false,22.4243
may,3,1,false,55.5462
your,0,1,false,3.7889
often,2,0,false,26.5555
company,3,0,false,14.3038
evidence,2,3,false,50.1596
news,2,3,false,1.0
turn,6,2,false,51.1881
policy,3,1,false,38.0356
land,6,0,false,51.2548
development,3,3,false,1.0
woman,2,2,false,1.0
notice,4,1,false,36.9179
someone,3,1,false,1.0
show,5,2,false,17.1434
road,3,0,false,56.0675
deep,3,0,false,50.3549
sell,5,4,false,37.1226
forget,3,1,false,62.9142
inside,3,1,false,66.5626
remain,3,2,true,23.9334
rate,2,1,false,20.7421
hour,0,4,false,52.454
left,3,2,true,65.2252
we,1,2,false,1.0
nation,2,4,false,42.8742
live,5,0,false,18.1832
camera,1,0,false,16.7549
end,6,2,false,49.1663
down,5,2,false,1.0
attack,3,2,false,58.6764
ground,3,2,false,30.2351
against,3,1,false,78.1194
per,2,2,false,58.6048
once,0,2,false,12.5009
drug,3,2,false,46.4914
per,2,1,true,33.4456
discussion,3,1,false,1.0
account,1,2,false,58.4511
avoid,4,4,true,62.3168
second,3,1,false,1.0
program,4,2,false,34.6548
artist,6,2,false,1.0
drop,3,2,false,22.8932
author,1,0,false,1.0
western,1,2,true,32.5882
almost,3,1,false,22.6256
trade,1,4,true,44.0758
give,3,0,true,7.4558
avoid,1,2,false,15.5642
my,3,1,false,72.8701
economy,1,2,false,46.1758
family,3,2,false,75.7158
relationship,3,2,false,19.8193
mention,0,1,false,37.2042
difficult,3,0,false,1.0
notice,3,1,false,84.0
cause,3,3,false,46.36
several,3,0,false,28.6863
worry,3,3,true,75.2466
us,1,3,false,14.2188
own,3,4,false,74.8533
part,2,1,false,1.0
material,4,0,false,63.3119
eight,4,0,false,7.5096
still,4,1,false,43.2658
material,1,2,false,35.02
surface,6,1,false,1.0
investment,5,2,false,1.0
customer,3,2,false,24.0309
between,6,0,false,30.9371
bill,2,0,false,50.3731
reason,2,2,false,47.1879
lawyer,3,0,false,4.8281
health,1,4,false,45.4848
land,2,1,false,71.8836
item,2,3,false,84.0
manage,3,1,false,42.2071
treat,0,3,false,1.0
shoulder,2,3,true,34.2684
arm,4,2,false,68.1782
report,2,2,true,1.0542
ready,4,2,false,28.9839
race,0,2,false,21.0118
billion,3,0,false,1.0
ask,5,0,false,6.6477
interesting,5,0,false,20.2673
should,5,1,false,34.2748
group,4,2,false,1.0
such,1,1,false,35.7538
training,4,3,false,56.7079
boy,1,3,false,1.0
energy,2,1,false,47.6676
dark,2,2,false,51.9803
customer,3,2,false,60.9353
not,5,1,true,71.0597
list,1,2,false,43.2426
challenge,0,2,true,20.4325
knowledge,4,2,false,54.1945
cover,1,2,false,1.0
family,2,1,false,28.2772
maintain,3,2,false,45.0265
enjoy,0,1,false,57.8934
two,3,5,false,57.0832
wind,3,2,false,1.0
bag,3,4,true,13.8362
level,2,2,true,75.4266
system,1,3,false,23.1493
training,2,2,false,59.5447
total,0,1,false,35.1363
oil,3,2,false,38.8624
billion,3,2,false,7.9133
apply,5,2,false,25.414
reach,5,1,false,82.7296
now,6,1,false,13.2588
think,2,3,false,26.8041
administration,1,2,false,37.7229
better,2,2,false,39.7305
with,2,2,false,1.0
some,5,2,true,57.1121
time,4,2,false,26.4416
economic,1,2,false,1.0
compare,7,3,false,47.7834
investment,0,0,false,36.3684
mention,3,1,true,2.5449
medical,5,1,true,7.7474
different,3,2,false,12.9326
treatment,7,3,false,10.8057
institution,2,3,false,54.6533
weight,1,4,false,39.32
artist,4,2,false,42.8596
community,4,4,false,58.9176
hundred,2,1,false,1.0
able,3,2,false,1.0
in,4,1,false,29.4237
evidence,5,2,false,9.8841
with,2,0,false,44.4784
step,0,4,false,1.0
still,1,3,false,1.0
look,0,1,false,45.2206
feeling,3,2,false,15.476
land,2,2,false,39.593
same,1,1,true,25.7525
side,4,2,false,29.1296
step,3,1,false,72.8721
only,4,0,true,37.3607
recently,4,1,true,1.0
serious,4,4,false,19.1461
message,2,2,false,64.1545
clear,1,3,false,84.0
customer,2,2,false,36.3124
fine,1,2,false,1.0
director,5,3,false,39.8227
article,2,3,false,64.8174
particularly,1,0,true,23.8403
simply,2,2,false,6.2858
occur,0,2,false,67.1495
ask,2,3,false,5.4287
small,3,2,true,42.3909
former,5,1,false,13.003
art,2,1,false,1.0
apply,2,3,false,1.0
pattern,4,1,false,52.4666
me,4,2,false,79.9189
morning,3,2,false,8.8319
wide,2,1,false,84.0
tonight,3,1,false,6.4957
nice,4,2,true,1.0
coach,3,1,false,69.4737
art,3,2,false,81.2169
movie,4,2,false,35.2586
be,4,2,false,23.6036
today,1,3,false,12.7556
cultural,1,1,false,66.056
authority,2,1,false,15.2805
physical,4,1,false,16.8849
author,5,4,false,21.5165
Republican,4,3,false,19.7533
training,0,1,false,26.2033
easy,3,0,false,1.0
international,2,1,false,40.6865
call,2,2,false,19.3962
year,2,1,false,72.9111
voice,3,1,false,16.7189
over,4,2,true,29.4638
employee,0,3,false,16.4641
particular,3,1,false,15.358
phone,3,1,false,57.6003
among,2,0,false,26.9456
president,3,2,false,27.1754
beat,4,1,false,38.2752
kind,2,0,false,1.0
really,2,2,true,29.7196
past,2,2,false,26.3824
other,2,1,false,1.0
necessary,6,1,false,46.5265
four,4,1,false,56.9656
worry,3,1,false,1.0
every,4,1,false,11.2233
democratic,6,2,false,23.2359
relationship,3,2,false,15.4727
sense,3,4,false,17.6622
former,4,2,true,48.3545
edge,4,2,false,37.9061
evidence,4,5,false,5.753
individual,2,2,false,38.7049
catch,7,0,false,45.9326
remain,4,2,false,1.0
quite,3,2,false,22.6542
first,2,0,true,31.3528
lot,4,1,false,57.8432
four,6,2,false,1.0
woman,5,2,false,26.7251
society,0,3,true,64.5172
would,2,1,false,1.0
baby,3,0,false,9.5634
act,0,4,false,12.599
low,0,0,true,66.3136
pretty,5,1,false,42.9712
order,3,2,false,60.0727
black,4,2,false,21.5305
back,1,3,true,24.7379
note,3,2,false,31.508
different,2,1,false,84.0
move,3,1,true,19.7913
evidence,5,1,false,37.684
cause,4,2,false,35.1484
worker,2,1,true,1.0
happy,5,2,false,23.2383
upon,5,3,false,62.6709
authority,3,1,true,62.9127
until,4,1,false,31.0849
election,4,2,false,3.1904
hope,4,2,false,28.1334
feel,3,0,false,5.6331
coach,4,1,false,55.7735
left,4,3,false,2.8065
these,6,1,true,18.2408
of,3,2,false,52.8929
score,4,1,false,1.0
five,3,0,false,47.8253
population,1,1,false,71.6082
surface,1,1,false,25.2307
ready,1,3,false,43.9373
newspaper,3,0,false,16.894
across,2,1,true,50.5332
region,1,1,false,17.7195
technology,4,1,false,73.5967
once,4,2,false,1.0
firm,2,0,true,21.9608
work,1,1,false,47.9725
record,2,2,false,1.0
body,4,1,false,15.0864
wrong,5,2,true,37.4688
unit,2,2,false,16.8865
center,3,0,false,42.0412
everything,2,1,false,2.6525
business,6,4,false,16.8947
voice,4,2,false,30.2932
both,1,1,false,18.0083
situation,2,1,false,59.4458
on,4,1,false,54.0622
clearly,3,1,false,16.8697
expert,4,1,false,36.5433
father,3,1,false,1.0
point,1,1,false,58.1145
develop,2,1,false,39.3702
series,1,3,false,1.0
gun,4,1,false,28.6899
Democrat,2,0,false,21.5335
right,2,2,false,1.0
protect,1,2,false,50.7871
tonight,7,3,false,25.9058
everything,2,0,true,71.8724
mouth,2,2,false,58.9921
middle,2,1,false,63.6007
enter,4,1,false,36.402
western,6,4,false,51.4449
whatever,0,0,false,41.8514
throughout,2,2,false,31.8819
approach,1,2,false,23.1395
best,3,2,false,35.872
protect,7,2,false,56.7181
land,4,4,false,51.3472
themselves,6,3,false,55.8283
factor,6,1,false,22.4428
another,1,1,false,30.0347
about,2,2,false,13.2418
goal,4,3,false,34.8076
spend,5,0,false,32.4934
case,3,1,true,32.9801
public,0,1,false,9.6368
everybody,8,2,false,15.3061
color,1,1,false,24.7574
site,3,1,false,17.5338
letter,2,1,false,1.0
ok,7,3,true,7.1062
season,2,0,false,32.3478
late,2,1,true,58.8951
option,5,1,false,63.7645
act,3,2,false,23.6359
brother,2,0,true,38.2078
bag,2,2,false,1.0
you,2,1,false,23.1796
use,2,2,false,33.5493
rock,4,3,false,64.2206
well,4,2,false,25.9907
church,5,1,false,8.0075
offer,2,1,false,39.0875
also,3,2,false,9.4082
they,4,3,false,1.0
hope,5,2,false,49.7054
pass,3,2,false,40.463
old,4,1,false,34.4979
choose,4,2,false,47.8531
law,0,1,true,27.7043
care,2,1,false,65.5452
analysis,1,2,true,29.9698
foot,1,2,false,1.1377
his,2,0,false,60.5697
way,6,2,false,31.9188
worker,5,3,false,53.5266
style,1,1,false,49.6625
traditional,3,1,false,54.0077
among,4,2,false,12.0256
way,3,3,false,39.7338
help,0,1,false,19.0254
develop,5,2,false,20.434
rest,3,2,false,45.2527
enjoy,3,2,false,51.5838
reflect,4,2,false,3.6199
board,3,0,false,13.3902
health,2,1,false,9.4736
state,1,3,false,47.029
opportunity,2,1,false,17.0263
usually,1,3,false,37.208
two,3,2,true,1.0
investment,2,4,false,33.7172
pressure,1,2,false,37.2992
so,1,3,false,84.0
clear,3,3,false,49.0693
wish,1,0,false,25.7932
wonder,2,1,false,4.8542
economic,3,2,false,33.6499
treatment,3,1,false,48.6835
commercial,2,2,false,47.2
such,3,2,false,11.6141
talk,1,1,false,4.5053
cost,3,2,false,56.6503
upon,4,3,false,45.4747
itself,1,2,false,1.0
ago,2,1,false,45.7994
country,2,2,false,11.194
since,5,1,false,36.523
window,3,2,false,55.4727
go,3,2,false,25.3188
stay,2,3,false,1.0
word,3,1,false,34.7022
its,3,0,false,30.2715
suffer,0,1,false,64.4938
relationship,2,3,false,31.0116
treat,3,2,false,12.4801
simple,2,1,false,10.4991
talk,4,2,false,51.4202
energy,3,1,false,61.8302
example,3,2,false,15.3363
collection,3,1,false,30.8296
store,4,2,false,24.9378
science,4,0,false,1.0
box,5,1,false,1.0
idea,1,4,true,3.2605
turn,7,2,false,4.4858
American,3,0,false,12.3716
town,0,0,false,25.571
many,5,3,true,33.903
doctor,4,1,false,63.7785
decision,0,1,false,26.1685
technology,3,2,false,29.1099
why,0,0,true,39.981
magazine,3,1,false,46.761
hard,2,2,false,58.5487
focus,5,0,true,8.2083
tend,4,2,false,8.9103
stuff,1,2,false,44.3488
try,2,1,false,16.535
drive,3,2,false,28.5127
dog,4,4,false,5.2629
agent,2,4,false,55.9038
receive,3,2,false,40.8911
data,1,0,false,1.0
inside,3,2,false,37.6888
get,1,3,false,50.8994
family,4,1,false,37.5605
treatment,7,3,false,81.7016
available,2,0,false,51.5274
spring,3,2,false,58.353
family,4,2,false,69.5462
have,2,0,false,40.9511
put,5,2,false,33.0588
Mr,3,3,false,50.2395
instead,2,1,false,66.5891
respond,2,2,false,15.0626
threat,0,3,false,70.0191
not,1,1,true,1.0
glass,4,4,false,18.083
wrong,1,1,false,18.5413
ahead,2,1,false,49.3323
business,6,3,true,27.5362
understand,4,3,false,58.8411
every,1,2,false,38.6515
could,1,1,false,2.1746
partner,2,2,false,20.6043
evidence,3,2,false,42.8733
American,2,2,false,30.9496
boy,4,2,false,31.631
pick,3,0,false,43.0249
leader,2,2,true,44.0054
hair,5,1,false,26.6768
shoulder,1,1,false,80.3055
stop,0,1,false,25.1436
former,5,3,false,12.2831
least,5,2,false,38.9516
police,2,4,true,1.0
much,7,3,false,39.4558
business,4,1,false,13.2453
image,3,2,false,15.4593
we,6,2,false,24.5479
part,1,1,false,27.9906
customer,4,2,false,30.8179
environmental,2,1,false,18.576
another,4,2,false,25.7221
section,1,1,false,47.9242
least,4,3,true,19.9616
ability,4,1,false,32.1194
nature,2,3,false,23.0096
wish,3,2,true,39.2738
sure,4,2,false,1.0
nothing,5,0,false,10.8594
right,5,2,false,1.0
serve,3,3,false,19.1728
yard,3,2,false,31.0676
site,0,0,false,48.2146
since,3,2,false,8.909
religious,2,0,false,34.5498
debate,2,3,false,27.4107
himself,4,3,false,7.9294
lawyer,3,2,false,84.0
available,3,2,false,21.0236
red,4,3,false,20.7265
wife,4,0,false,45.6275
give,4,2,false,1.0
price,3,3,false,25.0369
former,1,2,false,1.0
record,3,1,false,13.4891
thus,5,2,false,28.8806
capital,3,0,false,27.8598
service,3,1,false,38.7334
we,3,3,false,54.2051
first,2,3,false,49.515
movement,6,1,false,1.0
for,2,1,false,40.8934
reflect,2,0,false,1.0
issue,3,3,false,10.3103
general,5,2,false,1.0
interesting,3,2,false,22.0445
same,3,1,false,47.3087
find,5,2,false,6.9572
once,3,1,false,1.0
care,3,1,false,44.9527
dark,0,2,false,1.8924
kitchen,2,2,false,5.0966
red,3,0,false,13.3229
yard,5,0,false,1.0
hundred,3,4,false,1.0
research,0,3,false,25.7128
smile,1,1,true,11.5514
weight,5,2,false,20.7902
contain,1,1,false,29.9633
power,5,0,false,53.5638
outside,2,1,false,42.1042
fish,5,3,false,61.1534
into,3,2,false,57.4858
official,4,2,false,28.9788
these,5,2,false,1.0
a,2,2,false,1.0
fly,4,5,false,42.5713
few,1,2,false,30.3969
develop,2,1,false,20.1501
law,4,4,false,1.0
stock,3,3,false,58.3242
particularly,3,3,false,27.0622
policy,3,1,false,37.2636
real,2,3,false,12.976
fund,2,2,false,61.4393
make,3,2,false,75.0045
letter,3,3,false,33.0763
letter,5,2,true,37.8531
Republican,3,3,false,9.737
different,1,3,false,82.0275
much,3,1,false,24.1216
material,2,3,false,66.1921
student,6,2,false,50.8944
wear,4,2,true,61.4332
style,4,1,false,59.4636
simply,1,4,false,39.6051
condition,2,0,false,84.0
reason,2,2,false,1.0
become,4,2,false,41.0673
federal,2,2,false,12.0364
myself,2,2,false,21.0951
record,5,3,false,17.7345
property,1,3,false,44.5105
president,3,3,false,10.2943
government,1,2,false,50.821
better,2,2,true,46.1085
tell,0,1,false,54.8961
society,4,0,false,1.0
easy,3,1,false,23.8677
remember,2,1,false,16.3338
force,2,2,false,28.0941
down,1,2,true,1.5783
sure,6,1,false,15.1911
decide,3,1,false,24.7756
choice,5,2,false,37.6402
ago,3,2,false,4.3001
any,1,2,true,1.0
election,7,2,false,66.2242
may,0,2,false,51.4716
popular,4,1,false,10.4474
to,1,4,false,32.8699
special,3,1,false,34.5471
baby,3,0,false,16.5327
lose,2,0,false,1.0
join,2,1,false,20.3423
various,2,4,false,29.8685
professional,0,1,false,30.5348
parent,3,2,false,34.5761
day,2,2,false,35.4264
serious,4,2,false,32.918
same,2,2,true,17.9599
if,1,1,false,1.0
miss,1,2,true,32.3566
instead,5,1,false,35.1479
either,2,0,false,31.5464
choose,5,2,true,6.1049
reality,2,1,false,43.7363
rise,3,4,false,63.9455
accept,3,1,false,50.9422
walk,4,3,true,26.5015
social,4,0,false,1.0
traditional,0,0,false,14.3397
speech,1,1,false,19.3315
value,3,1,false,29.6138
both,2,1,false,37.158
start,1,1,false,36.1391
large,5,1,false,50.7435
discuss,3,3,true,45.8693
control,0,1,false,32.1714
summer,4,0,false,23.6902
safe,0,2,true,1.0
national,2,2,false,1.0
majority,1,0,false,46.3624
apply,5,4,false,22.8173
onto,3,4,false,39.2464
enjoy,2,2,false,11.6322
whose,3,3,true,12.39
thus,1,0,false,12.7236
campaign,5,2,false,1.0
loss,4,2,false,52.22
cell,4,0,false,16.2547
suddenly,4,2,false,34.452
majority,2,2,false,84.0
region,0,0,false,8.2372
nice,3,1,false,26.1474
operation,3,3,false,31.4535
physical,4,3,false,10.5942
free,4,0,false,33.7676
someone,4,1,false,1.0
vote,4,5,false,3.4048
level,3,2,false,34.6165
position,1,2,false,8.3753
teacher,6,1,false,66.8278
serve,5,0,false,49.5333
wait,3,1,false,25.1747
mother,3,2,false,1.0
last,5,1,false,48.5621
then,2,1,false,9.9712
what,4,0,false,60.2141
official,3,3,false,1.0
like,3,2,false,20.601
watch,3,2,false,46.4018
cold,2,3,false,77.9767
six,2,0,false,35.8774
training,5,2,false,11.5048
may,3,1,false,1.0
listen,2,3,false,49.0268
event,4,2,false,48.238
society,4,1,false,1.0
end,2,3,false,20.2447
though,3,0,false,29.1242
public,2,1,false,24.1159
factor,2,1,true,51.3949
space,7,2,false,84.0
star,1,1,false,1.0
near,2,2,false,1.0
memory,4,2,false,58.3281
produce,3,3,false,25.8901
edge,3,1,false,39.1497
face,0,2,true,30.4512
less,4,1,true,1.0
bank,2,2,false,47.2685
sell,1,1,false,1.0
feeling,4,2,false,72.4323
easy,2,1,false,40.4033
expert,2,1,false,21.5645
government,2,0,true,38.4872
front,6,2,false,68.4554
walk,3,1,false,58.0949
now,4,0,true,39.3865
be,2,2,false,1.0
certainly,5,1,true,36.525
city,3,1,false,38.5108
during,2,0,false,60.6847
identify,3,2,false,4.4178
rule,5,2,false,31.6609
claim,3,1,false,1.0
seat,3,2,false,52.1805
difficult,3,2,false,40.475
attack,3,2,false,28.4477
join,1,1,false,10.0747
involve,4,0,false,6.3931
give,2,1,true,31.5126
occur,4,3,false,42.4177
man,3,0,false,14.2396
just,3,2,false,62.9527
assume,3,2,false,48.4377
design,1,2,false,13.3113
there,4,1,false,36.1891
kitchen,4,1,false,15.3621
improve,3,2,false,52.686
west,1,1,false,80.7257
speech,4,2,false,57.5909
pattern,4,2,false,40.6169
young,2,2,false,22.5974
safe,2,2,false,40.722
again,3,1,false,60.3361
tough,5,4,false,18.4451
up,1,1,false,18.1351
southern,4,0,false,58.1261
parent,6,2,false,5.4135
husband,2,1,true,15.8966
me,3,3,false,24.1193
according,2,0,false,44.3526
yes,3,1,false,66.9461
he,3,2,false,42.7874
fire,3,3,true,35.1028
some,3,2,false,17.6765
in,2,2,false,4.7889
tonight,0,2,false,8.0486
wait,1,3,false,31.4462
thing,5,1,false,1.0
kind,7,2,false,84.0
nothing,4,0,false,41.777
small,2,0,false,51.732
simple,1,1,false,38.7669
office,2,1,false,56.3496
such,2,0,true,58.0207
player,3,1,false,73.019
water,4,1,false,17.0148
discussion,3,3,false,61.6239
method,0,1,false,84.0
discuss,2,1,false,48.8326
explain,3,1,false,19.014
least,2,1,false,37.2423
mention,2,1,false,29.7853
air,5,1,false,14.5571
improve,3,2,false,47.9243
great,3,1,false,72.0935
relate,3,1,false,34.829
respond,1,2,false,1.0
success,5,1,false,21.633
interview,2,1,false,40.0795
shake,1,3,false,51.4301
company,2,2,false,3.6859
though,1,2,false,14.3043
manage,5,1,false,35.5459
wide,3,1,false,5.5826
care,2,3,false,44.9531
prevent,0,0,false,54.2881
none,0,0,false,34.8832
agreement,3,3,false,9.5731
what,1,2,false,3.1758
indeed,5,2,true,68.2309
person,2,2,false,1.0
organization,2,0,false,45.8828
recognize,3,0,false,1.0
agreement,1,0,false,1.0
because,3,1,false,46.406
question,4,2,false,38.0588
later,0,4,false,22.0952
central,3,2,false,1.0
trial,2,1,false,34.9479
main,3,0,false,6.3215
court,0,1,true,14.6146
apply,3,2,true,38.3668
ever,0,2,false,10.895
hundred,1,2,false,31.998
generation,0,2,false,50.5021
development,3,1,true,78.9534
look,0,2,false,4.3956
general,3,2,false,41.1296
green,4,5,false,1.0
sort,4,1,false,10.022
until,4,3,false,84.0
hundred,2,0,false,8.2779
fall,3,1,false,59.548
soldier,5,1,false,19.8818
theory,3,2,false,30.1263
know,2,0,true,66.9345
entire,1,4,false,18.5197
they,4,0,false,1.0
beat,4,2,false,58.0566
many,2,2,true,64.069
after,3,0,false,27.5942
so,3,3,false,58.7744
notice,2,1,false,38.2026
area,4,0,false,48.6399
hard,2,0,false,33.7657
door,4,1,false,30.1694
rate,3,1,true,3.5905
authority,2,2,false,81.8552
statement,4,4,false,59.2433
reach,0,1,false,5.2222
amount,1,1,true,43.9567
somebody,1,1,false,45.7961
allow,0,3,true,27.4875
end,2,2,false,1.0
decision,0,3,false,18.0314
those,4,3,false,1.0
again,0,3,false,34.0209
pretty,1,2,false,15.7628
claim,4,2,true,52.7536
edge,3,0,false,82.5658
card,0,1,false,1.0
material,1,1,false,43.6223
relationship,1,4,false,38.128
building,2,2,false,52.3303
organization,4,1,false,23.3135
yourself,1,1,true,39.7716
discover,2,2,false,27.1448
make,3,1,false,70.7097
scene,1,1,false,38.124
establish,2,2,false,30.8482
speak,2,3,false,65.4228
home,1,1,false,36.116
computer,2,4,false,44.2363
police,5,0,false,28.9827
policy,0,1,true,62.76
small,4,3,false,68.3943
serious,2,1,false,51.66
building,1,2,false,1.0
star,1,3,true,28.6592
tell,3,1,false,47.2213
common,5,0,false,1.0
foreign,4,1,false,32.7173
box,5,1,false,45.6565
particular,0,0,false,1.0
agree,5,3,false,38.4204
woman,3,1,false,1.0
forget,0,1,false,46.6407
parent,5,2,false,34.6673
research,3,3,false,84.0
whatever,6,2,false,42.1573
how,3,3,false,15.6464
industry,6,2,true,50.8092
year,3,4,false,26.9268
senior,5,2,false,36.6573
decide,2,1,false,6.1502
bag,1,3,false,51.6501
person,1,1,false,47.3985
rock,0,0,false,11.3959
then,1,1,false,29.2706
product,5,1,false,53.0974
eight,1,2,false,25.3867
blue,3,1,true,1.0
same,4,3,true,73.8632
spring,4,0,true,84.0
fish,5,2,true,26.84
to,4,1,false,38.9258
return,4,2,false,17.9596
plan,3,2,false,1.084
support,5,1,false,1.0
camera,4,1,false,51.2132
style,0,1,false,68.6169
others,4,1,false,24.4035
stay,2,3,true,18.6712
analysis,2,2,false,17.397
hand,3,1,false,84.0
no,4,0,false,45.343
later,5,1,false,43.5134
recently,0,1,false,31.0978
